name,jibun_Address,road_Address,postcode
광천식당,대전 서구 용문동 256-9,대전 서구 계룡로 670-16(용문동),35304
우래옥,대전 서구 갈마동 427-84,대전 서구 신갈마로127번길 163(갈마동),35280
서해해물손칼국수,대전 서구 용문동 256-25,대전 서구 계룡로662번길 14(용문동),35304
원앙식당,대전 서구 가수원동 175-4,대전 서구 벌곡로1384번길 80(가수원동),35388
토속돌구이,대전 서구 도마동 174-3,대전 서구 대신1길 23(도마동),35401
동양돌구이,대전 서구 용문동 258-19,대전 서구 계룡로 658-22(용문동),35304
충무할매낙지볶음,대전 서구 용문동 277-4,대전 서구 도산로 340(용문동),35302
멕시카나치킨,대전 서구 용문동 244-58,대전 서구 계룡로 663-17(용문동),35307
정림가든,대전 서구 정림동 8-4,대전 서구 혜천로 20(정림동),35395
우남성,대전 서구 정림동 688,대전 서구 정림서로 134-3(정림동),35398
대화장,대전 서구 도마동 101-3,대전 서구 사마1길 14(도마동),35334
궁중칼국수한민점,대전 서구 괴정동 91-29,대전 서구 도솔로296번길 40-1(괴정동),35294
힐링호프,대전 서구 가장동 41-43,대전 서구 갈마로313번길 7(가장동),35311
대성콩국수,대전 서구 도마동 67-36,대전 서구 도산로 141(도마동),35333
광성루,대전 서구 도마동 129-36,대전 서구 도산로 84(도마동),35332
섬마을홍어아가씨,대전 서구 월평동 16-4,대전 서구 계룡로264번길 38-6(월평동),35274
돈수원갈비,대전 서구 도마동 100-15,대전 서구 도산로 103(도마동),35334
원조연산순대,대전 서구 도마동 90-33,대전 서구 도마6길 1(도마동),35331
한마음면옥식당,대전 서구 도마동 101-6,대전 서구 사마1길 22(도마동),35334
금성갈비향기,대전 서구 탄방동 78-6,대전 서구 도산로393번길 6(탄방동),35264
일신반점,대전 서구 가수원동 211-1,대전 서구 벌곡로 1384(가수원동),35388
명월막창,대전 서구 가수원동 774-18,대전 서구 벌곡로1353번길 63(가수원동),35389
북경대반점,대전 서구 도마동 67-1,대전 서구 도산로 147-2(도마동),35333
천강돌솥쌈밥,대전 서구 용문동 256-34,대전 서구 계룡로 658-1(용문동),35304
풍년식당,대전 서구 도마동 143-7,대전 서구 도마2길 19(도마동),35332
숲속식당,대전 서구 가수원동 766-16,대전 서구 계백로 1166-19(가수원동),35387
경남성,대전 서구 도마동 193 경남아파트2단지,"대전 서구 배재로 155-26(도마동, 경남아파트2단지)",35346
대국제시장,대전 서구 용문동 277-24,대전 서구 괴정로 163(용문동),35302
구미집,대전 서구 용문동 255-20,대전 서구 유등로505번길 36(용문동),35305
금평식당,대전 서구 흑석동 283-6,대전 서구 장안로 53(흑석동),35426
탕의전설본가설렁탕,대전 서구 가수원동 805-5,대전 서구 가수원로 31-1(가수원동),35390
오아시스,대전 서구 도마동 26-8,대전 서구 도마로7번길 4(도마동),35329
이모네감자탕,대전 서구 도마동 34-44,대전 서구 도솔로 135(도마동),35329
담음,대전 서구 갈마동 343-33,대전 서구 갈마중로 13-12(갈마동),35270
신정육식당,대전 서구 가수원동 763-3 김정호산부인과,대전 서구 계백로1158번길 7-5(가수원동),35387
롱다리치킨갈마1호점,대전 서구 갈마동 292-16,대전 서구 계룡로354번길 8(갈마동),35275
김밥천국,대전 서구 도마동 50-8,대전 서구 도마로 8(도마동),35337
페리카나치킨,대전 서구 괴정동 130-3,대전 서구 갈마로 170(괴정동),35287
코코네삼겹살,대전 서구 괴정동 67-7,대전 서구 괴정로 58(괴정동),35291
하와더카페 롯데점,대전 서구 괴정동 423-28,대전 서구 도솔로 386(괴정동),35299
페리카나치킨가장분점,대전 서구 가장동 40-40,대전 서구 갈마로 298(가장동),35310
맛촌생고기,대전 서구 도마동 163-4,대전 서구 도솔로 15-1(도마동),35340
대박고기촌,대전 서구 가수원동 785-18,대전 서구 가수원중로 53(가수원동),35389
페리카나치킨식당,대전 서구 가수원동 618-4,대전 서구 벌곡로1285번길 182(가수원동),35391
산적골식당,대전 서구 도마동 119-2,대전 서구 도솔로 55(도마동),35338
송화반점,대전 서구 가수원동 794-4,대전 서구 계백로1158번길 104(가수원동),35389
밤맛고을,대전 서구 갈마동 343-30,대전 서구 갈마중로 13(갈마동),35270
처갓집양념치킨 갈마점,대전 서구 갈마동 339-2,대전 서구 갈마중로7번길 29(갈마동),35270
총알돼지,대전 서구 도마동 39-15,대전 서구 도마로 43(도마동),35324
불꽃실내마차,대전 서구 도마동 143-13,대전 서구 도마2길 7(도마동),35332
구봉농장식당,대전 서구 관저동 833,대전 서구 계백로776번길 134(관저동),35377
멕시칸양념통닭,대전 서구 갈마동 352-10,대전 서구 갈마로69번길 23(갈마동),35272
